Drug,SW157765,SW157692,SW005017,SW134727,SW072554,SW197409,SW006981,SW096640,SW148608,SW198886,SW134963,SW023297,SW208072,SW074797,SW113135,SW015134,SW018825,SW080100,SW043997,SW088073,SW041995,SW074798,SW034455,SW096258,SW031368,SW053405,SW023118,SW096289,SW049772,SW074763,SW172170,SW031378,SW074796,SW202555,SW096274,SW147215,SW081904,SW082653,SW208097,SW082337,SW094234,SW117364,SW008135,SW028282,SW196788,SW140154,SW011146,SW013744,SW035516,SW018303
H2126,537.5244,465.6266,173.8427,369.0052,425.9288,274.0128,459.5833,391.0175,183.1943,465.5565,411.7356,342.7616,297.9774,372.2036,397.2426,396.4566,578.9031,324.1107,340.1963,253.9065,345.4488,396.7339,347.1462,382.9904,387.1826,211.7659,378.9066,394.778,413.0082,352.5852,448.5662,386.9374,431.069,447.5516,372.8236,386.4837,410.1069,401.7517,296.6895,389.1993,400.7639,413.5383,307.084,439.7154,616.5585,302.5879,401.7657,393.9002,420.6472,424.0211
H2172,610.4306,504.3308,186.1169,464.9456,426.2657,294.8261,476.0622,469.3075,227.3865,554.6738,469.9374,346.6862,335.9122,453.7938,479.3001,465.1726,590.7468,436.5367,380.7929,304.124,395.9707,479.4715,468.2887,472.0202,459.2696,245.5619,469.7082,480.2276,487.9418,425.6372,434.0154,480.127,503.0002,487.3373,468.9979,480.7682,492.6334,470.0851,422.7767,452.3995,484.03,419.7165,351.6446,493.6742,416.6756,241.7697,468.9059,452.0312,510.3095,485.8714
H2228,450.0966,384.1704,212.5781,nan,398.8619,324.9226,nan,487.4318,266.4151,521.7487,nan,398.6981,405.8606,465.7299,473.1356,488.0591,602.9902,416.6655,384.6113,335.1235,406.0402,510.3858,460.0092,493.4051,467.1696,276.4543,461.995,452.9771,469.0471,437.1086,nan,467.4352,505.3229,364.985,481.6121,466.6884,473.5193,466.8058,400.9919,453.409,472.1816,400.4112,nan,496.1816,nan,nan,500.1274,470.602,508.8896,426.2437
H2250,617.6099,511.4729,172.1582,494.4623,360.7132,257.7609,473.255,441.9282,156.6392,502.7698,487.4749,338.2362,380.7593,408.7754,469.1992,470.4706,606.8316,405.6757,410.6263,251.3396,444.5239,442.6937,473.7987,453.146,473.1607,187.1125,414.4614,462.0248,493.7499,406.2975,435.0231,495.3106,466.3527,315.0931,450.7116,447.4841,489.0917,410.8026,384.4068,432.1617,422.6594,410.1931,330.819,487.5353,504.7059,302.0133,460.1973,456.5378,530.2402,342.0833
H2258,523.8552,416.2407,156.4342,436.9169,380.96,246.3255,464.4471,433.9632,192.6063,482.8333,462.3192,359.1624,328.7288,368.687,330.394,425.0049,548.1605,337.9125,321.486,286.8532,306.7586,399.8375,313.2409,400.0118,374.7634,225.218,379.9842,381.2496,379.8467,349.2628,424.9521,389.3828,405.4887,317.2668,372.5834,365.0574,406.8044,401.4904,296.9202,347.3139,389.594,398.3522,346.9164,415.699,555.6955,284.6944,388.0286,400.2907,425.0919,393.526
H226,581.1787,418.8733,133.1979,455.6488,394.5128,230.0207,487.4099,488.7086,234.9155,569.9648,456.119,307.0281,369.7102,454.6488,452.1978,474.1864,585.4368,431.8869,369.6997,257.453,401.9388,466.8881,445.69,452.1011,432.5319,169.0705,492.2995,507.2013,466.655,397.0441,453.4023,421.2163,495.4619,431.4853,458.0888,472.1139,495.6262,504.374,463.3795,508.05,484.1462,419.8386,382.5905,485.1313,505.9284,277.3398,429.4767,460.9221,506.0348,454.0973
H23,621.1078,411.8199,110.2785,436.22,350.9738,152.7239,458.3941,385.6951,157.0415,487.0749,433.3966,263.8791,276.577,312.4683,349.6877,390.43,567.0195,302.7172,274.5697,212.867,316.0886,325.9958,299.1364,362.8466,306.7477,193.483,316.3618,357.8251,364.124,295.3623,408.7562,333.072,354.7112,437.4853,365.6913,347.4614,363.6622,453.1281,297.6446,333.1897,402.032,401.0936,392.1733,361.2883,603.0933,255.8546,324.315,390.6225,395.863,354.6592
H2342,613.4052,493.0471,175.5387,306.8414,346.3026,276.3462,444.7645,560.7964,170.7161,518.2469,330.1991,299.9607,540.1775,484.3264,556.3275,536.4332,582.5051,466.0292,437.2747,254.2486,447.812,513.8094,528.5511,520.2329,533.8608,217.3619,581.1419,536.1985,563.7644,462.8486,423.0308,490.9224,557.5008,494.3784,587.1796,552.8048,547.0289,477.5225,503.773,474.0121,519.3734,424.6612,366.0256,566.9299,471.4617,279.3944,508.1756,505.5168,546.1474,491.6781
H2347,596.7909,523.449,162.7406,454.041,384.212,240.6431,473.08,463.1635,160.4735,515.4086,468.7002,304.4359,406.2194,435.9665,457.666,465.5211,591.0798,414.3627,370.4542,254.7636,401.012,478.286,430.8161,486.2439,449.2698,211.0465,458.3177,455.8368,471.4567,404.5682,444.8241,475.3271,478.2615,462.4597,472.9094,462.5769,471.2492,444.7776,459.071,469.271,473.4717,433.3983,365.5753,501.7587,609.9062,278.3848,461.5712,463.3493,498.2729,445.555
H2452,542.4729,483.2556,157.1808,456.8785,379.1,282.7664,476.9726,427.711,208.5256,531.4436,468.29,338.2145,266.4991,390.3285,401.4975,410.8982,538.7438,369.4488,341.1216,264.8477,371.2781,404.8881,408.2197,427.8219,386.1484,232.4432,391.5356,427.6226,437.4067,366.3358,443.7266,419.5491,426.0727,469.806,420.37,417.2133,432.9438,438.4142,300.723,458.9253,436.9509,422.5632,364.5074,433.3293,436.9232,267.6143,405.8415,418.3009,482.553,452.8493
H2882,585.7277,479.2766,153.3818,450.0502,337.2188,236.7451,491.2811,437.4331,203.512,490.4235,441.8467,269.4884,269.993,425.1318,419.8401,484.6467,575.4844,401.4807,350.4083,250.8132,405.1745,456.8213,438.7297,443.6061,424.5925,181.0992,413.1293,460.0873,465.348,393.0087,426.1616,428.1267,474.1913,437.5663,444.9682,444.2769,421.9446,422.6855,500.5051,372.9669,460.6686,413.1029,395.4412,417.7192,631.9626,293.9934,443.5755,393.7298,493.751,468.1489
H2887,610.5964,507.5136,176.5072,484.3491,359.6039,291.5808,490.0331,466.9249,248.9205,513.6353,494.447,383.4352,410.829,450.6584,463.57,498.084,589.3092,451.4074,383.4321,308.1709,404.5635,458.9699,445.0643,464.5385,469.6649,269.3871,493.9224,466.8728,503.4018,415.7549,448.658,464.576,497.5095,469.3648,482.8319,501.1122,495.2487,454.9521,433.9716,498.3425,479.4739,427.4178,386.2506,497.4869,553.065,265.9333,485.6691,483.2358,509.3609,512.5361
H292,528.7144,454.2378,158.6711,422.072,366.5063,243.609,460.9923,422.8184,145.2657,373.6254,492.1472,298.3259,321.4753,387.829,399.0572,421.594,548.6078,370.0007,350.0474,261.4571,366.2766,428.0149,404.2779,415.4876,385.2303,155.3899,410.8818,441.6524,436.9648,378.0187,430.9376,400.8825,447.5564,426.4232,420.9197,429.1496,449.8766,441.1962,338.6108,413.1733,430.071,390.4668,374.2343,452.389,423.0265,309.8754,408.3285,433.3263,461.9674,464.8077
H3122,637.2071,529.8025,188.519,431.1202,388.0889,289.2864,453.7886,447.8667,251.5154,654.2772,434.925,365.3163,447.2411,426.3234,501.0569,482.3424,479.6677,386.9208,420.611,315.7149,415.9896,501.6027,495.4883,439.8986,430.8737,266.2776,440.1953,455.9717,452.3996,383.5049,346.3179,467.0727,525.511,448.7354,438.6617,547.8554,475.1128,411.5487,471.0049,443.2649,444.9761,441.9864,383.483,473.1746,610.1593,333.0049,492.9962,464.6573,499.7574,455.0529
H322,463.9938,430.345,153.8087,353.2211,262.7586,252.6027,439.8437,427.8734,153.0099,365.9431,393.3021,310.1561,320.9241,382.0895,418.1556,421.1502,572.1614,392.7801,371.7957,240.3895,367.7342,423.7507,410.2744,417.0672,435.6195,200.1033,398.0977,453.0879,453.4476,388.6129,413.3507,428.7891,477.017,484.8316,442.8575,423.9912,463.3005,477.6006,375.8012,472.7459,440.1223,445.9892,235.7375,437.4074,571.5341,268.3872,438.0762,428.3349,479.1931,419.0589
H324,581.3292,514.3235,162.6102,416.1426,330.9771,265.207,441.0349,456.2583,174.7391,545.9812,442.2047,278.7844,375.598,404.6419,410.1728,435.0187,590.2499,371.322,344.5809,247.2927,356.3172,405.94,400.9386,386.4026,368.0635,196.1012,374.2668,413.4969,427.7321,349.2836,433.828,360.0651,456.7287,462.9816,378.0651,414.9736,448.8328,428.6301,381.4394,402.61,396.11,404.2208,359.3934,455.6846,508.2593,297.3429,371.5723,421.5286,439.8795,424.5019
H3255,424.0463,412.1163,163.2359,309.5499,389.4644,256.4292,443.6368,426.5429,160.706,224.9495,277.49,310.0815,449.894,441.2481,466.0856,461.42,538.0168,381.4457,392.4991,264.0116,373.0952,489.5954,492.2713,442.0028,491.2377,320.0202,433.2357,431.7708,461.5765,393.0975,398.7178,497.3561,512.5065,427.4138,416.665,426.6286,465.6665,405.2784,363.4797,417.2437,450.0272,395.7058,361.8423,478.1549,614.3082,276.7002,471.0999,431.2022,485.8255,457.6829
